145321.2656,0.604,0.908
145325.2813,0.604,0.908
145329.5156,0.604,0.908
145333.75,0.604,0.908
145337.8281,0.604,0.908
145342.0313,0.604,0.908
145346.25,0.604,0.908
145350.2813,0.604,0.908
145354.5,0.604,0.908
145358.7656,0.604,0.908
145363.5156,0.604,0.908
145367.8281,0.604,0.908
145372.0156,0.604,0.908
145376,0.604,0.908
145380.3438,0.604,0.908
145384.5156,0.604,0.908
145388.7656,0.604,0.908
145393.2656,0.604,0.908
145397.8125,0.604,0.908
145402.0156,0.604,0.908
145406.0156,0.602,0.905
145410.3438,0.602,0.905
145414.5,0.602,0.905
145418.5156,0.602,0.905
145422.8281,0.602,0.905
145427,0.602,0.905
145431,0.602,0.905
145435.3281,0.602,0.905
145439.5156,0.602,0.905
145443.7656,0.602,0.905
145448.25,0.602,0.905
145452.25,0.602,0.905
145456.2656,0.602,0.905
145460.75,0.602,0.905
145464.75,0.602,0.905
145468.75,0.602,0.905
145472.8906,0.602,0.905
145477,0.602,0.905
145481.0156,0.602,0.905
145485.3438,0.602,0.905
145489.5156,0.602,0.905
145493.7813,0.602,0.905
145498.25,0.602,0.905
145502.9844,0.601,0.903
145507,0.601,0.903
145511.0156,0.601,0.903
145515.5313,0.601,0.903
145519.7656,0.601,0.903
145524.0156,0.601,0.903
145528.25,0.601,0.903
145532.2656,0.601,0.903
145536.5156,0.601,0.903
145540.7656,0.601,0.903
145545.3125,0.601,0.903
145549.5,0.601,0.903
145553.75,0.601,0.903
145557.8125,0.601,0.903
145562.0156,0.601,0.903
145566.2656,0.601,0.903
145570.7656,0.601,0.903
145575.3594,0.601,0.903
145579.5,0.601,0.903
145583.5156,0.601,0.903
145587.8594,0.601,0.903
145592.0156,0.601,0.903
145596.2656,0.601,0.903
145600.7656,0.601,0.903
145605.2813,0.599,0.901
145609.5,0.599,0.901
145613.75,0.599,0.901
145618.2656,0.599,0.901
145622.8281,0.599,0.901
145627.0156,0.599,0.901
145631.25,0.599,0.901
145635.2813,0.599,0.901
145639.5156,0.599,0.901
145643.7656,0.599,0.901
145648.2656,0.599,0.901
145652.9063,0.599,0.901
145657,0.599,0.901
145661,0.599,0.901
145665.3125,0.599,0.901
145669.5156,0.599,0.901
145673.7656,0.599,0.901
145678.25,0.599,0.901
145682.25,0.599,0.901
145686.2656,0.599,0.901
145690.75,0.599,0.901
145695.3438,0.599,0.901
145699.5156,0.599,0.901
145703.7813,0.599,0.901
145708.25,0.597,0.899
145712.2656,0.597,0.899
145716.5156,0.597,0.899
145720.7969,0.597,0.899
145725.2969,0.597,0.899
145729.5,0.597,0.899
145733.75,0.597,0.899
145737.8438,0.597,0.899
145742.0156,0.597,0.899
145746.2656,0.597,0.899
145750.7656,0.597,0.899
145755.3594,0.597,0.899
145759.5,0.597,0.899
145763.5156,0.597,0.899
145767.8438,0.597,0.899
145772,0.597,0.899
